<pre>
<B>Information is listed alphabetically by district.
Use the "Edit," "Find" function of your browser to search for a district.


SCHOOL DISTRICT/SCHOOL                 ENTITY NUMBER
</b>
ABSECON PUBLIC SCHOOL DISTRICT                123337
  ATTALES MIDDLE SCHOOL                         8916
  MARSH ELEMENTARY SCHOOL                       8917

ALEXANDRIA TWP SCHOOL DISTRICT                123566
  ALEXANDRIA MIDDLE SCHOOL                      9715
  WILSON ELEM SCHOOL                            9716

ALLAMUCHY TOWNSHIP SCHOOL DIST                123042
  ALLAMUCHY TOWNSHIP ELEM SCHOOL                8122

ALLENDALE SCHOOL DISTRICT                     122801
  BROOKSIDE ELEMENTARY SCHOOL                   7398
  HILLSIDE ELEMENTARY SCHOOL                    7396

ALLOWAY TWP SCHOOL DISTRICT                   123155
  ALLOWAY TOWNSHIP SCHOOL                       8378

ALPHA SCHOOL DISTRICT                         123564
  ALPHA ELEMENTARY SCHOOL                       9713

ALPINE SCHOOL DISTRICT                        122897
  ALPINE ELEMENTARY SCHOOL                      7698

ANDOVER REGIONAL SCHOOL DIST                  123084
  BURD SCHOOL                                   8186
  LONG POND ELEMENTARY SCHOOL                   8190

ASBURY PARK SCHOOL DISTRICT                   122971
  ASBURY PARK HIGH SCHOOL                       7896
  ASBURY PARK MIDDLE SCHOOL                     7899
  BANGS AVENUE ELEMENTARY SCHOOL                7900
  BRADLEY PRIMARY SCHOOL                        7897

ATLANTIC CITY BVE-ADMIN                       123420
  ATLANTIC CITY HIGH SCHOOL                     9127
  BRIGHTON AVE ELEMENTARY SCHOOL                9130
  CHELSEA HEIGHTS ELEM SCHOOL                   9126
  INDIANA AVE ELEMENTARY SCHOOL                 9133
  KING SCH COMPLEX                              9129
  NEW JERSEY AVENUE ELEM SCHOOL                 9134
  RICHMOND AVE ELEMENTARY SCHOOL                9136
  TEXAS AVENUE JUNIOR HIGH SCHOOL               9132
  UPTOWN COMPLEX ELEM SCHOOL                    9135
  VENICE PARK ELEMENTARY SCHOOL                 9128

ATLANTIC CO SPECIAL SERV DIST                 123405
  ABSECON CAMPUS                                8913
  CORBIN CITY REGIONAL DAY SCH                  9019
  HOSTLER HALL SCHOOL                           9020
  MAYS LANDING SCHOOL                           9067

ATLANTIC CO VOC SCH DISTRICT                  123404
  ATLANTIC COUNTY VO-TEC SCHOOL                 9066

ATLANTIC HIGHLANDS SCHOOL DIST                122974
  ATLANTIC HIGHLANDS ELEM SCHOOL                7904

AUDUBON SCHOOL DISTRICT                       123325
  AUDUBON HIGH SCHOOL                           8874
  HAVILAND AVENUE ELEM SCHOOL                   8872
  MANSION AVENUE ELEMENTARY SCH                 8873

AVALON SCHOOL DISTRICT                        123340
  AVALON ELEMENTARY SCHOOL                      8924

AVON BOROUGH SCHOOL DISTRICT                  122976
  AVON ELEMENTARY SCHOOL                        7907

BARNEGAT TOWNSHIP SCHOOL DIST                 123158
  BRACKMAN MIDDLE SCHOOL                        8408
  COLLINS ELEMENTARY SCHOOL                     8409
  DUNFEE ELEMENTARY SCHOOL                      8410
  EDWARDS ELEMENTARY SCHOOL                     8411

BARRINGTON BOROUGH                            123159
  AVON ELEMENTARY SCHOOL                        8504
  WOODLAND ELEMENTARY SCHOOL                    8412

BASS RIVER TWP SCHOOL DISTRICT                123359
  BASS RIVER TWP ELEM SCHOOL                    8966

BAYHEAD SCHOOL DISTRICT                       123485
  BAYHEAD ELEMENTARY SCHOOL                     9450

BAYONNE SCHOOL DISTRICT                       122637
  BAILEY ELEMENTARY SCHOOL 12                   6447
  BAYONNE HIGH SCHOOL                           6452
  DONOHOE ELEMENTARY SCHOOL 4                   6465
  HARRIS ELEMENTARY SCHOOL 1                    6454
  LINCOLN ELEMENTARY SCHOOL 05                  6467
  MANN ELEMENTARY SCHOOL 6                      6458
  MIDTOWN COMMUNITY SCHOOL                      6449
  ROBINSON ELEMENTARY SCHOOL 3                  6457
  VROOM ELEMENTARY SCHOOL 2                     6464
  WASHINGTON ELEMENTARY SCHOOL 9                6459
  WILSON ELEMENTARY SCHOOL 10                   6462

BEACH HAVEN SCHOOL DISTRICT                   123160
  BEACH HAVEN ELEMENTARY SCHOOL                 8414

BEDMINSTER BOARD OF EDUCATION                 123117
  BEDMINSTER TWP ELEM SCHOOL                    8272

BELLEVILLE SCHOOL DISTRICT                    122783
  BELLEVILLE ELEM SCHOOL 03                     7184
  BELLEVILLE ELEM SCHOOL 04                     7177
  BELLEVILLE ELEM SCHOOL 05                     7185
  BELLEVILLE ELEM SCHOOL 07                     7182
  BELLEVILLE ELEM SCHOOL 08                     7183
  BELLEVILLE ELEM SCHOOL 09                     7188
  BELLEVILLE ELEM SCHOOL 10                     7180
  BELLEVILLE HIGH SCHOOL                        7181
  BELLEVILLE MIDDLE SCHOOL                      7187

BELLMAWR BOROUGH SCHOOL DIST                  123194
  BELL OAKS UPPER ELEM SCHOOL                   8500
  BELLMAWR PARK ELEM SCHOOL                     8501
  BURKE ELEMENTARY SCHOOL                       8503

BELMAR ELEMENTARY SCHOOL DIST                 122979
  BELMAR ELEMENTARY SCHOOL                      7919

BELVIDERE SCHOOL DISTRICT                     123047
  BELVIDERE HIGH SCHOOL                         8125
  OXFORD STREET ELEM SCHOOL                     8126
  THIRD STREET ELEMENTARY SCHOOL                8123

BERGEN COUNTY SPECIAL SERVICES                122939
  BLESHMAN REGIONAL DAY SCH                     7806
  EMERSON                                     161200
  GARFIELD                                    152910
  HACKENSACK                                  207645
  LODI                                        167707
  MIDLAND PARK                                161219
  MILLBURN                                    168615
  PALISADES LEARNING CENTER                     7811
  PARAMUS                                     157975
  PROGRAM 3-EMOT DIST SCHOOL                    7796
  PROGRAM 5-LIFE SKILLS SCHOOL                  7797
  ROCKLEIGH                                   168619
  SECONDARY HEARING IMPAIRED SCH                7464
  TETERBORO                                   163897
  WOOD-RIDGE                                  164563

BERGEN COUNTY TECHNICAL SCHOOLS               122885
  BERGEN CO TECHNICAL HIGH SCH                  7675
  EVENING VOC-TECH HIGH SCHOOL                  7676
  PARAMUS TECH CENTER                           7803
  TETERBORO SPEC NEEDS VOC CTR                  7696
  TETERBORO TECHNICAL ED CENTER                 7697

BERGENFIELD SCHOOL DISTRICT                   122898
  BERGENFIELD HIGH SCHOOL                       7703
  BROWN MIDDLE SCHOOL                           7705
  FRANKLIN ELEMENTARY SCHOOL                    7701
  HOOVER ELEMENTARY SCHOOL                      7707
  JEFFERSON ELEMENTARY SCHOOL                   7702
  LINCOLN ELEMENTARY SCHOOL                     7706
  WASHINGTON ELEMENTARY SCHOOL                  7699

BERKELEY HEIGHTS PUBLIC SCHS                  123118
  COLUMBIA MIDDLE SCHOOL                        8274
  HUGHES SCHOOL                                 8276
  MOUNTAIN PARK ELEM SCHOOL                     8275
  WOODRUFF ELEM SCHOOL                          8273

BERKELEY TOWNSHIP SCHOOL DIST                 123472
  BAYVILLE ELEMENTARY SCHOOL                    9395
  POTTER ELEMENTARY SCH                         9396
  WORTH ELEMENTARY SCH                          9398

BERLIN BOROUGH SCHOOL DISTRICT                123164
