Reynolds number..........  3.0950E+05
Karman number............  1.3181E+04
Friction factor..........  1.4509E-02
Average velocity (m/s)...  1.3110E+01
Maximum velocity (m/s)...  1.5489E+01
Friction velocity (m/s)..  5.5830E-01
Pressure drop (Pa/m)..... -3.2460E+01
Correlation coefficient.. -0.99999315
Pressure (Pa)............  2.8876E+05
Temperature (K)..........  2.9891E+02
Density (kg/m3)..........  3.3679E+00
Compressibility factor...  9.9944E-01
Viscosity (N-sec/m2).....  1.8454E-05
Diameter (m).............  1.2936E-01

ys/R            rs/R            udef            y+              u+  
 6.9727E-03      9.9303E-01      1.2738E+01      4.5952E+01      1.5006E+01  
 7.6637E-03      9.9234E-01      1.2460E+01      5.0507E+01      1.5283E+01  
 8.5120E-03      9.9149E-01      1.2253E+01      5.6097E+01      1.5490E+01  
 9.4859E-03      9.9051E-01      1.2046E+01      6.2515E+01      1.5698E+01  
 1.0648E-02      9.8935E-01      1.1901E+01      7.0175E+01      1.5843E+01  
 1.1999E-02      9.8800E-01      1.1675E+01      7.9078E+01      1.6069E+01  
 1.3601E-02      9.8640E-01      1.1353E+01      8.9637E+01      1.6391E+01  
 1.5455E-02      9.8455E-01      1.1123E+01      1.0185E+02      1.6621E+01  
 1.7591E-02      9.8241E-01      1.0808E+01      1.1593E+02      1.6936E+01  
 2.0105E-02      9.7990E-01      1.0600E+01      1.3250E+02      1.7144E+01  
 2.3027E-02      9.7697E-01      1.0212E+01      1.5175E+02      1.7532E+01  
 2.6419E-02      9.7358E-01      9.8683E+00      1.7411E+02      1.7875E+01  
 3.0409E-02      9.6959E-01      9.6668E+00      2.0041E+02      1.8077E+01  
 3.5058E-02      9.6494E-01      9.3509E+00      2.3104E+02      1.8393E+01  
 4.0461E-02      9.5954E-01      8.9405E+00      2.6665E+02      1.8803E+01  
 4.6745E-02      9.5326E-01      8.6108E+00      3.0806E+02      1.9133E+01  
 5.4065E-02      9.4593E-01      8.2117E+00      3.5631E+02      1.9532E+01  
 6.2610E-02      9.3739E-01      7.8553E+00      4.1262E+02      1.9888E+01  
 7.2537E-02      9.2746E-01      7.4120E+00      4.7804E+02      2.0332E+01  
 8.4099E-02      9.1590E-01      7.1243E+00      5.5424E+02      2.0619E+01  
 9.7575E-02      9.0242E-01      6.6753E+00      6.4305E+02      2.1068E+01  
 1.1325E-01      8.8675E-01      6.3442E+00      7.4637E+02      2.1400E+01  
 1.3150E-01      8.6850E-01      5.8493E+00      8.6665E+02      2.1894E+01  
 1.5277E-01      8.4723E-01      5.5372E+00      1.0068E+03      2.2207E+01  
 1.7753E-01      8.2247E-01      5.1796E+00      1.1700E+03      2.2564E+01  
 2.0637E-01      7.9363E-01      4.7623E+00      1.3600E+03      2.2981E+01  
 2.3995E-01      7.6005E-01      4.2874E+00      1.5813E+03      2.3456E+01  
 2.7903E-01      7.2097E-01      3.8746E+00      1.8389E+03      2.3869E+01  
 3.2455E-01      6.7545E-01      3.4675E+00      2.1389E+03      2.4276E+01  
 3.7754E-01      6.2246E-01      2.9758E+00      2.4881E+03      2.4768E+01  
 4.3937E-01      5.6063E-01      2.4800E+00      2.8956E+03      2.5264E+01  
 5.0120E-01      4.9880E-01      2.0139E+00      3.3030E+03      2.5730E+01  
 5.6302E-01      4.3698E-01      1.6216E+00      3.7105E+03      2.6122E+01  
 6.2485E-01      3.7515E-01      1.2559E+00      4.1180E+03      2.6488E+01  
 6.8667E-01      3.1332E-01      9.3082E-01      4.5254E+03      2.6813E+01  
 7.4850E-01      2.5150E-01      6.2965E-01      4.9329E+03      2.7114E+01  
 8.1033E-01      1.8967E-01      3.8294E-01      5.3403E+03      2.7361E+01  
 8.5671E-01      1.4329E-01      2.2493E-01      5.6460E+03      2.7519E+01  
 9.0307E-01      9.6925E-02      1.2171E-01      5.9516E+03      2.7622E+01  
 9.3398E-01      6.6020E-02      6.9260E-02      6.1552E+03      2.7674E+01  
 9.6490E-01      3.5099E-02      2.8246E-02      6.3590E+03      2.7715E+01  
 9.9581E-01      4.1936E-03      1.0899E-02      6.5627E+03      2.7733E+01  
 1.0267E+00      -.2673E-01      9.9245E-03      6.7665E+03      2.7734E+01  
 1.0576E+00      -.5763E-01      2.0547E-02      6.9701E+03      2.7723E+01  
 1.0886E+00      -.8855E-01      5.4424E-02      7.1739E+03      2.7689E+01  
 1.1349E+00      -.1349E+00      1.4775E-01      7.4795E+03      2.7596E+01  
 1.1813E+00      -.1813E+00      2.9012E-01      7.7851E+03      2.7454E+01  
 1.2431E+00      -.2431E+00      5.1726E-01      8.1925E+03      2.7226E+01  
 1.3049E+00      -.3049E+00      7.9768E-01      8.6000E+03      2.6946E+01  
 1.3668E+00      -.3668E+00      1.0802E+00      9.0074E+03      2.6664E+01  
 1.4286E+00      -.4286E+00      1.4714E+00      9.4149E+03      2.6272E+01  
 1.4904E+00      -.4904E+00      1.8843E+00      9.8223E+03      2.5859E+01  
