ACT Code	High School	State	Active
530090	BALBOA HIGH SCHOOL	AA	Y
530120	CRISTOBAL JR-SR HIGH SCHOOL	AA	Y
560055	COMISO AMERICAN SCHOOL	AA	Y
800050	AUTEC SCHOOL	AA	N
854200	AMERICAN SCHOOL OF GUATEMALA	AA	N
854505	COLEGIO MAYA	AA	N
878160	AMERICAN NICARAGUAN SCHOOL	AA	N
900150	ASOCIACION ESCUELAS LINCOLN	AA	N
910040	AMERICAN SCHOOL BELO HORIZONTE	AA	N
935055	ASUNCION CHRISTIAN ACADEMY	AA	N
945260	URUGUAYAN AMERICAN SCHOOL	AA	N
980308	CDR HQ USAG	AA	Y
980309	ARMY EDUCATION CENTER	AA	Y
980736	EDUCATION OFFICE	AA	Y
980934	COMMANDING OFFICER	AA	Y
980944	NAVY COLLEGE OFFICE	AA	N
981012	COMMANDING OFFICER	AA	N
981099	COMMANDING OFFICER	AA	N
981441	ARMY EDUCATION CTR	AA	Y
981459	US COAST GUARD ESO	AA	N
981496	OFFICER IN CHARGE	AA	N
981547	COMMANDER JTF-B	AA	N
981961	COMMANDING OFFICER	AA	Y
982238	COMMANDING OFFICER	AA	Y
982267	COMMANDING OFFICER	AA	Y
985915	COMMANDING OFFICER	AA	N
563100	BAHRAIN SCHOOL DOD	AE	N
564040	GEORGE C MARSHALL SCHOOL DOD	AE	N
564080	INCIRLIK HIGH SCHOOL DOD	AE	N
564160	IZMIR AMERICAN HS DOD	AE	N
574010	BRUSSELS AMERICAN HS DOD	AE	N
574020	SHAPE AMERICAN HIGH SCHOOL	AE	N
575010	ALCONBURY AMERICAN HS DOD	AE	N
575020	LAKENHEATH HIGH SCHOOL DOD	AE	N
575030	WOODBRIDGE AMERICAN HIGH SCH	AE	Y
575060	LONDON CENTRAL HS DOD	AE	N
575070	CROUGHTON HIGH SCHOOL	AE	Y
575505	AFNORTH SCHOOL DOD	AE	N
576014	ANSBACH AMERICAN HS DOD	AE	N
576020	AUGSBURG AMERICAN HIGH SCHOOL	AE	Y
576022	BAD AIBLING AMERICAN SCH DOD	AE	N
576040	BAD KREUZNACH HIGH SCHOOL	AE	Y
576050	BAMBERG AMERICAN HS DOD	AE	N
576060	BAUMHOLDER AMERICAN HS DOD	AE	N
576080	BERLIN AMERICAN HIGH SCHOOL	AE	Y
576100	BITBURG AMERICAN HS DOD	AE	N
576120	OSTERHOLZ AMERICAN HIGH SCHOOL	AE	Y
576140	FRANKFURT AMERICAN HIGH SCHOOL	AE	Y
576143	FULDA AMERICAN HIGH SCHOOL	AE	Y
576144	GIESSEN AMERICAN HS DOD	AE	N
576145	HAHN AMERICAN HIGH SCHOOL	AE	Y
576146	HOHENFELS AMERICAN HS DOD	AE	N
576150	HANAU HIGH SCHOOL DOD	AE	N
576160	HEIDELBERG AMERICAN HS DOD	AE	N
576220	KAISERSLAUTERN AMERICAN HS DOD	AE	N
576240	KARLSRUHE AMERICAN HIGH SCHOOL	AE	Y
576260	STUTTGART AMERICAN HIGH SCHOOL	AE	Y
576280	MANNHEIM AMERICAN HS DOD	AE	N
576300	MUNICH AMERICAN HIGH SCHOOL	AE	Y
576320	NURNBERG AMERICAN HIGH SCHOOL	AE	Y
576325	PATCH AMERICAN HIGH SCHOOL DOD	AE	N
576340	RAMSTEIN AMERICAN HS DODD	AE	N
576345	ARMY EDUCATION CENTER	AE	N
576360	GENERAL H H ARNOLD HS DOD	AE	N
576397	VILSECK HIGH SCHOOL DOD	AE	N
576400	WUERZBURG AMERICAN HS DOD	AE	N
576410	ZWEIBRUECKEN HIGH SCHOOL	AE	Y
576520	A T MAHAN HIGH SCHOOL DOD	AE	N
577020	LIVORNO AMERICAN HS DOD	AE	N
577040	BRINDISI AMERICAN HIGH SCHOOL	AE	Y
577060	NAPLES AMERICAN HS DOD	AE	N
577099	AVIANO AMERICAN HS DOD	AE	N
577100	STEPHEN DECATUR SEC SCH DOD	AE	N
577140	VICENZA AMERICAN SCHOOL DOD	AE	N
577550	OSLO AMERICAN SCHOOL	AE	Y
578050	LAJES DEPENDENT HS DOD	AE	N
578520	TORREJON AMERICAN SCHOOL	AE	Y
578550	DAVID G FARRAGUT HS DOD	AE	N
578580	ZARAGOZA HIGH SCHOOL	AE	Y
580530	ROGER B CHAFFEE SCHOOLS	AE	Y
581520	WILLIAM T SAMPSON HIGH SCHOOL	AE	Y
611000	AMERICAN SCHOOL OF KINSHASA	AE	N
611200	AMERICAN SCHOOL OF KINSHASA	AE	Y
622090	AMERICAN COOPERATIVE SCHOOL	AE	Y
625025	CASABLANCA AMERICAN SCHOOL	AE	N
625175	RABAT AMERICAN SCHOOL	AE	N
681005	AMERICAN COMMUNITY SCHOOL AO	AE	N
724310	MENWITH HILL ELEM/HIGH SCH DOD	AE	N
734981	GENERAL H H ARNOLD HIGH SCHOOL	AE	Y
748330	INTERNATIONAL SCHOOL NAPLES	AE	N
759620	SOESTERBERG AMERICAN HIGH SCH	AE	Y
788590	ANGLO AMERICAN SCHOOL MOSCOW	AE	N
838600	W T SAMPSON HIGH SCHOOL DOD	AE	N
880000	BALBOA ACADEMY	AE	N
980014	ARMY EDUCATION CENTER	AE	Y
980207	ARMY EDUCATION CTR	AE	N
980208	ARMY EDUCATION CTR	AE	N
980211	ARMY EDUCATION CTR	AE	N
980212	ARMY EDUCATION CTR	AE	N
980213	ARMY EDUCATION CENTER	AE	N
980217	ARMY EDUCATION CTR	AE	N
980218	ARMY EDUCATION CTR	AE	N
980221	SHAPE EDUCATION CTR	AE	N
980224	ARMY EDUCATION CTR	AE	N
980226	ARMY EDUCATION CTR	AE	N
980227	ARMY EDUCATION CTR	AE	N
980230	ARMY EDUCATION CTR	AE	N
980233	ARMY EDUCATION CTR	AE	Y
980234	ARMY EDUCATION CTR	AE	Y
980235	ARMY EDUCATION CTR	AE	N
980236	ARMY EDUCATION CTR	AE	N
980241	ARMY EDUCATION CTR	AE	N
980242	ARMY EDUCATION CTR	AE	N
980244	ARMY EDUCATION CENTER	AE	Y
980247	ARMY EDUCATION CTR	AE	Y
980248	ARMY EDUCATION CTR	AE	N
980253	ARMY EDUCATION CTR	AE	N
980254	ARMY EDUCATION CENTER	AE	N
980259	HC COBB EDUCATION & TRNG CTR	AE	Y
980262	ARMY EDUCATION CTR	AE	N
980263	ARMY EDUCATION CTR	AE	N
980265	EDUCATION CTR	AE	N
980275	ARMY EDUCATION CENTER NSA	AE	Y
980276	ARMY EDUCATION CTR	AE	Y
980277	ARMY EDUCATION CTR	AE	N
980278	COMMANDER USMCA	AE	Y
980282	ARMY EDUCATION CTR	AE	N
980283	ARMY EDUCATION CTR	AE	N
980293	ARMY EDUCATION CTR	AE	N
980297	ARMY EDUCATION CENTER	AE	Y
980635	EDUCATION SERVICES	AE	N
980712	EDUCATION OFFICER	AE	N
980714	EDUCATION OFFICE	AE	N
980717	SEMBACH EDUCATION CENTER	AE	Y
980718	EDUCATION OFFICE	AE	Y
980720	EDUCATION SERVICE OFFICER	AE	Y
980721	EDUCATION OFFICER	AE	Y
980724	EDUCATION OFFICE	AE	N
980732	AIR FORCE EDUCATION OFFICE	AE	N
980901	OFFICER IN CHARGE	AE	Y
980935	COMMANDING OFFICER	AE	Y
980940	NAVY COLLEGE OFFICE	AE	N
980950	COMMANDING OFFICER	AE	N
981004	EDUCATION OFFICE	AE	N
981006	NAVAL SUPPORT ACTIVITY	AE	N
981007	LEARNING RESOURCE CTR	AE	N
981010	DANTES EUROPEAN REPRESENTATIVE	AE	N
981019	ARMY EDUCATION CENTER	AE	Y
981033	ARMY EDUCATION CTR	AE	N
981046	ARMY EDUCATION CTR	AE	N
981047	AF EDUCATION OFFICE	AE	Y
981059	COMMANDING OFFICER	AE	N
981063	EDUCATION OFFICE	AE	Y
981068	EDUCATION OFFICE	AE	N
981072	EDUCATION OFFICER	AE	Y
981073	ARMY EDUCATION CTR	AE	N
981083	ARMY EDUCATION CTR	AE	N
981087	AIR FORCE EDUCATION CTR	AE	N
981089	AIR FORCE EDUCATION OFFICE	AE	N
981090	EDUCATION OFFICER	AE	Y
981096	EDUCATION CENTER	AE	Y
981111	ARMY EDUCATION CTR	AE	N
981116	EDUCATION OFFICE	AE	N
981125	EDUCATION OFFICE	AE	Y
981128	EDUCATION OFFICE	AE	Y
981132	AIR FORCE EDUCATION OFFICE	AE	N
981133	KLEBER EDUCATION CTR	AE	N
981135	COMMANDING OFFICER	AE	N
981138	AIR FORCE EDUCATION CTR	AE	N
981149	EDUCATION OFFICER	AE	Y
981150	COMMANDING OFFICER	AE	N
981153	EDUCATION SERVICES	AE	N
981158	COMMANDING OFFICER	AE	N
981160	COMMANDING OFFICER	AE	Y
981175	ARMY EDUCATION CTR	AE	Y
981183	EDUCATION OFFICE	AE	Y
981202	ARMY EDUCATION CENTER	AE	N
981240	COMMANDING OFFICER	AE	N
981246	COMMANDING OFFICER	AE	N
981263	COMMANDING OFFICER	AE	N
981284	COMMANDING OFFICER	AE	N
981285	ARMY EDUCATION CENTER	AE	N
981286	ARMY EDUCATION CTR	AE	N
981297	ARMY EDUCATION CENTER	AE	N
981318	NAVAL SUPPORT ACTIVITY	AE	N
981333	US NATIONAL SUPPORT ELEMENT	AE	N
981351	ARMY EDUCATION CTR	AE	N
981357	NAVY COLLEGE OFFICE	AE	N
981371	US NAVAL SECURITY GROUP ACT	AE	Y
981376	NAVY COLLEGE OFFICE	AE	N
981379	NAVY COLLEGE OFFICE	AE	N
981395	NAVY COLLEGE OFFICE	AE	N
981407	COMMANDING OFFICER	AE	N
